gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,operation_mode,other_moving_ac,QDepDep,taxi_time
15,15,22,1671.0656696848769,432.9063593842114,0,1199.0942861231813,101.443894651,623.2193247307075,1,12,0,4.1
15,15,22,1742.209854181318,587.1822736019196,0,1541.1507332234123,87.1816780958,0.0,1,14,0,3.316666666666667
15,15,22,2068.3290107864327,600.5672330570499,0,1673.7237098445162,73.4295357349,886.4465447797426,1,16,0,5.5
15,15,22,2066.850126753773,591.4896578325465,1,1610.8946613732048,116.843538226,0.0,1,18,0,13.65
15,15,22,2025.0319041492528,648.4790382685786,0,1583.7352075322124,90.631546504,1150.1577085007834,1,14,0,5.15
15,16,22,2284.915116335027,838.3349717072581,1,1752.88052587012,113.012561341,715.1878870562356,1,18,3,13.566666666666666
15,15,22,1702.411100633904,318.79256869164226,0,1485.258094341789,91.6845157884,805.3155182386618,1,17,2,10.316666666666666
15,15,22,2156.04025764966,571.6080935753228,0,1930.3025654630412,78.4654082791,612.4411099956866,1,14,0,5.15
16,15,22,2178.850706633788,476.0926712852778,0,1935.6975425773912,109.502424066,0.0,1,18,0,5.966666666666667
15,16,22,2217.0278091344576,1188.0525611229627,1,1588.6768584227352,112.201789352,0.0,1,18,1,9.633333333333333
16,16,22,2520.708910352488,664.6494011799434,0,2123.145110445114,90.959777885,0.0,1,17,0,5.733333333333333
16,16,22,1761.0981658570108,436.1708983217121,0,1542.9243724598894,83.4322277087,916.9506637659618,1,16,1,9.55
16,16,22,2463.0642261712264,536.5462947654299,0,2227.4110849403137,101.049188081,0.0,1,17,0,6.383333333333334
16,16,22,2067.113167998818,803.9303208117356,0,1495.2497768695523,103.676652407,578.1768592638504,1,16,2,11.366666666666667
16,16,22,1816.410743796485,585.554285581635,0,1373.1824707404292,113.012561341,886.4465447797426,1,14,0,5.416666666666667
16,16,22,2090.6328085127325,597.5867552286901,0,1610.4152361855165,112.201789352,886.4465447797426,1,13,0,5.3
16,16,22,2244.808498099369,982.1888002832404,0,1440.637529965153,104.571349969,578.1768592638504,1,17,1,8.65
16,16,22,1947.657295316756,841.5452732715759,1,1387.0500990600854,64.6124524558,0.0,1,16,3,14.6
16,16,22,1869.2182448666767,778.270030213281,1,1542.4609663385131,82.9530943613,0.0,1,18,1,8.95
16,16,22,2207.388630607728,1125.0105582366264,1,1747.069017861072,112.201789352,0.0,1,18,2,10.266666666666667
16,16,22,1731.1191455178928,562.5786732059357,0,1165.5475705102426,162.1488571428,886.4465447797426,1,19,0,8.3
16,16,22,1729.9758556283962,372.49630068770506,0,1503.5768403237316,68.0426694591,1033.5560212769112,1,15,9,12.316666666666666
16,16,22,2175.6780138729064,1081.837711131758,1,1722.197840101799,87.1816780958,577.1881546986612,1,18,4,9.45
16,16,22,838.4231833186341,225.89883988722409,0,696.282681889234,110.712389807,0.0,1,16,8,10.1
16,16,22,2094.2777701002155,521.9250175220617,0,1645.1860450263616,104.571349969,0.0,1,18,0,4.866666666666666
16,16,22,243.6651582933948,96.53413331384654,0,57.8579176618,84.7457731106,0.0,1,17,1,3.45
16,16,22,1312.6255679553549,321.0123607309933,0,676.6944680542865,0.0,575.4407558091866,1,18,0,3.2
