id,type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,distance_else,rwy,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
20-Oct-2024_RYR73TZ ,arrival,2.933333333333333,17,17,20,854.1034445415166,224.8202989179844,0,346.0117486636086,0,0,854.1034445415166,23R/05L,1,1,14,0,0,1,4,0,0,8,6
21-Oct-2024_SHT2R   ,arrival,3.5166666666666666,19,19,21,1162.1929491227374,171.4543807675148,0,758.1547170506024,82.9530943613,623.2193247307075,456.02053003073,,-1,0,8,0,0,0,0,0,0,6,2
21-Oct-2024_RYR74GL ,departure,11.083333333333334,19,19,21,1023.7835643094943,391.0986285284237,0,751.6595470378003,87.1816780958,0,936.6018862136943,23R/05L,1,0,10,0,2,0,0,5,2,0,0
21-Oct-2024_QTR46W  ,departure,24.2,19,20,21,3430.8885147354504,799.2169450770646,0,3090.2162249322314,110.712389807,1673.3430736964767,1646.8330512319737,23R/05L,1,0,10,3,4,0,0,6,2,0,0
21-Oct-2024_THY5ZR  ,arrival,5.266666666666667,19,19,21,1725.6990877494097,457.34468221176655,0,1304.1456780692292,112.574782287,0,1613.1243054624097,23R/05L,1,0,10,0,0,0,0,0,0,7,2
21-Oct-2024_RYR78CB ,arrival,4.566666666666666,19,19,21,2296.6842263750477,582.6110897329394,0,2012.5368538621415,90.631546504,612.4411099956866,1593.611569875361,23R/05L,1,0,11,0,0,1,1,0,0,7,3
21-Oct-2024_EZY39QU ,arrival,27.483333333333334,20,19,21,1679.8402369216928,502.30296667142295,0,1119.2900744194426,64.6124524558,886.4465447797426,728.7812396861503,23R/05L,1,0,11,0,0,4,4,0,0,7,3
21-Oct-2024_RYR88MP ,arrival,4.716666666666667,19,19,21,2180.645432311413,563.5579370064855,0,1930.3025654630414,78.4654082791,923.4468989662427,1178.7331250660704,23R/05L,1,0,12,0,0,0,0,0,0,6,3
21-Oct-2024_ABR9AN  ,departure,5.433333333333334,19,19,21,2234.688736618033,575.5328930439603,0,2029.853741917701,0,738.232310911477,1496.456425706556,23R/05L,1,0,12,0,1,0,0,6,4,0,0
21-Oct-2024_RYR2253 ,arrival,4.233333333333333,19,19,21,1726.136540179618,643.9457084485392,0,1439.5860019567124,113.012561341,575.4407558091866,1037.6832230294312,23R/05L,1,0,12,0,0,1,1,0,0,8,4
21-Oct-2024_NOZ1327 ,departure,11.033333333333333,19,19,21,3182.6551463545215,624.0444488014326,0,2972.18836013483,67.8586664272,1826.6017585018524,1288.194721425469,23R/05L,1,0,12,1,2,0,0,7,4,0,0
21-Oct-2024_AFR91WA ,arrival,5.833333333333333,20,19,21,2400.7651296673107,582.0982994487326,0,2155.489440347914,111.624949329,0,2289.1401803383105,23R/05L,1,0,10,0,0,2,0,0,0,7,3
21-Oct-2024_RYR70XX ,arrival,4.05,20,20,21,2092.9602849693288,600.2324062247038,0,1563.5752184173164,101.443894651,806.5635632358426,1184.9528270824862,23R/05L,1,0,9,0,0,0,1,0,0,5,3
21-Oct-2024_TOM475  ,arrival,6.683333333333334,20,20,21,2578.68414382223,625.3787190437367,0,2373.385221231646,68.0426694591,1019.764459621634,1490.8770147414957,23R/05L,1,0,9,0,0,0,2,0,0,5,3
21-Oct-2024_RUK8625 ,arrival,3.3666666666666667,20,20,21,1734.8421801750178,667.2827838082477,0,1462.2461817900123,82.4634639933,575.4407558091866,1076.9379603725313,23R/05L,1,0,10,0,0,0,1,0,0,5,4
21-Oct-2024_RYR1862 ,arrival,5.316666666666666,20,20,21,2246.9908158654603,582.4963173343688,0,1969.9523795533414,87.1816780958,612.4411099956866,1547.3680277739736,23R/05L,1,0,12,0,0,0,2,0,0,5,4
21-Oct-2024_LOG17ZA ,arrival,2696.0,17,20,23,1717.6937972990775,486.4888020226866,0,987.7002570248425,0,0,1717.6937972990775,23R/05L,1,0,16,0,0,26,37,0,0,5,4
21-Oct-2024_RYR360N ,arrival,3.2666666666666666,20,20,21,1533.9801129674927,344.89617729007773,0,1021.5741818237425,103.788931741,886.4465447797426,543.7446364467502,23R/05L,1,0,12,0,0,0,1,0,0,5,4
21-Oct-2024_EZY15QK ,arrival,5.433333333333334,20,20,21,1445.7021147155103,345.15143897128235,0,982.2404050092495,83.0918278028,575.4407558091866,787.1695311035237,23R/05L,1,0,13,0,0,0,1,0,0,6,5
21-Oct-2024_RYR5DZ  ,departure,6.6,20,20,21,781.5544428314647,356.3587140978517,0,503.1795799942653,78.4654082791,0,703.0890345523648,23R/05L,1,0,11,1,2,0,0,5,5,0,0
21-Oct-2024_RANGER 2,arrival,5734.7,19,20,25,813.5968974705341,345.43864050864323,0,242.0256784079,65.3970737181,0,748.1998237524341,,-1,0,16,0,0,50,55,0,0,5,5
21-Oct-2024_RYR9UC  ,departure,2.65,20,20,21,183.7151063735873,86.25276528978128,0,46.24354210138732,90.631546504,0,93.0835598695873,,-1,0,12,0,1,0,0,6,5,0,0
21-Oct-2024_SHT2X   ,arrival,3.216666666666667,20,20,21,1517.2187121294928,231.32413944414867,0,1180.4935670065372,0,886.4465447797426,630.7721673497502,23R/05L,1,0,12,0,0,2,1,0,0,7,5
22-Oct-2024_RUK5PC  ,arrival,4.1,15,15,22,1671.0656696848769,432.9063593842114,0,1199.0942861231813,101.443894651,623.2193247307075,946.4024503031694,,-1,1,12,0,0,0,2,0,0,5,4
22-Oct-2024_RUK4RF  ,arrival,3.316666666666667,15,15,22,1742.209854181318,587.1822736019196,0,1541.1507332234123,87.1816780958,0,1655.028176085518,23R/05L,1,1,14,0,0,0,1,0,0,5,6
22-Oct-2024_RYR5JE  ,arrival,5.5,15,15,22,2068.3290107864327,600.5672330570499,0,1673.7237098445162,73.4295357349,886.4465447797426,1108.4529302717901,23R/05L,1,1,16,0,0,0,3,0,0,6,7
22-Oct-2024_RYR2H   ,departure,13.65,15,15,22,2066.850126753773,591.4896578325465,1,1610.8946613732048,116.843538226,0,1950.0065885277731,,-1,1,18,0,6,0,0,6,8,0,0
22-Oct-2024_RYR2YG  ,arrival,5.15,15,15,22,2025.0319041492528,648.4790382685786,0,1583.7352075322124,90.631546504,1150.1577085007834,784.2426491444694,23R/05L,1,1,14,0,0,0,1,0,0,7,6
22-Oct-2024_RYR428Q ,departure,13.566666666666666,15,16,22,2284.915116335027,838.3349717072581,1,1752.88052587012,113.012561341,715.1878870562356,1456.7146679377915,23L/05R,2,1,18,3,4,0,0,7,6,0,0
22-Oct-2024_EZY83QY ,departure,10.316666666666666,15,15,22,1702.411100633904,318.79256869164226,0,1485.258094341789,91.6845157884,805.3155182386618,805.4110666068423,,-1,1,17,2,2,0,0,8,5,0,0
22-Oct-2024_RYR9CU  ,arrival,5.15,15,15,22,2156.04025764966,571.6080935753228,0,1930.3025654630414,78.4654082791,612.4411099956866,1465.1337393748736,23R/05L,1,1,14,0,0,1,0,0,0,9,5
22-Oct-2024_EXS74QM ,arrival,5.966666666666667,16,15,22,2178.850706633788,476.0926712852778,0,1935.6975425773912,109.502424066,0,2069.348282567788,23R/05L,1,1,18,0,0,2,1,0,0,7,7
