PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,taxi_time
1.419967961,1.227858105,-3.655430613,-1.499315391,0.079269525,-0.955814223,-0.914362012,0.524192773,1.246276758,0.50688359,0.268887073,-0.734283952,16.25
-1.308347392,-0.948795095,-2.206551587,1.857282062,0.195144988,-0.58263111,1.153647301,-0.392472551,1.01991847,1.036366307,-0.305003379,-0.848507378,3.85
-3.02637101,-2.382956279,-2.057105568,2.055839915,0.586747615,-0.238828209,0.231119448,-0.632916729,0.885791064,0.287850108,0.304795345,-0.822434894,1.4
2.201357746,1.106802233,-2.696069225,-0.388380906,-0.043841484,-0.988739391,0.446286501,-0.857960096,-0.259489434,1.068530536,1.051582798,-0.028289544,18.76666667
-1.269625496,0.40113003,-2.072758374,1.01135952,-0.145433062,-0.520781614,0.244519027,-0.344890041,-0.714548616,0.512058953,0.86678623,-0.286578831,3.733333333
1.633198163,0.432431174,-1.867403522,0.334591701,-0.084583868,-0.997138926,0.308197477,-0.26737428,-1.117467342,0.911188941,0.215398526,-0.195168354,22.48333333
0.812767004,-1.248525147,-1.425357767,0.443792643,0.523564614,-0.803552271,-0.573505134,-1.055174853,-1.708479582,0.239915322,1.11314715,0.094001124,21.51666667
-3.330245566,-1.540132836,-2.088146031,1.173229008,0.379076447,-0.197487509,-1.049229821,1.43456858,-0.058013476,-0.126324844,0.096357422,-0.716201015,0.533333333
-1.324280282,0.305955699,-2.335780006,0.733680848,-0.042482882,-0.581940528,-0.047833126,0.330447569,-0.097734324,0.369710042,0.683899377,-0.509455336,3.6
2.615713267,1.003343026,-2.155723306,-0.758121494,-0.003205524,-1.210464544,-0.647906318,-1.156877036,-1.024380928,0.233660714,0.845827683,-0.368149292,26.71666667
1.57280496,0.139721982,-1.884683108,0.261103909,0.090013486,-0.918732425,0.046308345,-0.597935471,-1.134668899,0.685172686,0.682077407,-0.137118227,22.96666667
1.038528968,-0.496743354,-2.31322602,-0.447443568,0.24296048,-1.065351665,-1.090540616,0.970800707,-0.126239278,0.285247687,-0.23465544,-0.703024285,13.91666667
9.761329563,2.593824207,-3.473163456,6.500591386,8.583195342,12.62946528,-1.348699551,1.003436505,-0.274619208,-0.748309883,-0.407711203,0.285441561,30382.48333
-1.139201483,0.858714946,-1.787724861,1.316952319,-0.337701075,-0.508054768,0.429560329,0.303844738,-1.104150691,0.901047067,-0.331487331,-0.438509685,8.5
-0.153427591,1.703597372,-2.083747381,0.506037571,-0.395781234,-0.757815108,0.097843351,-0.366404491,-0.739838312,0.262626175,0.523829865,-0.590289346,6.866666667
1.937694591,-0.369309109,-1.381887372,0.006016552,0.206380118,-0.982472423,-0.376850908,-0.438461473,-1.485000152,0.422151454,0.328892233,-0.172559426,16.21666667
-1.930873442,0.243329409,-1.711114544,1.128942349,0.025467377,-0.391726997,-0.493797333,-0.111727635,-1.000700133,-0.207274719,0.690304665,-0.575128111,3.983333333
2.497296031,0.107254083,-1.191207646,0.845906967,-0.104120374,-0.876169184,1.117671677,0.552635969,-1.57140689,1.581016711,-0.856643011,0.059624498,17.93333333
-2.326897335,-0.430362255,-1.365843595,1.389614786,0.306945427,-0.263576516,-0.492306667,-1.088120134,0.354115003,-0.836839409,0.07098916,-1.417636022,3.983333333
-1.951376285,0.017639402,-1.353252425,2.112331841,-0.017482916,-0.399008746,0.221027163,-0.531539277,-0.039463441,-0.224838227,-0.84962348,-1.382652476,4.4
0.564453803,-2.010605408,-0.659119019,1.178218945,0.473378003,-0.695699677,-0.270816868,0.409968624,-2.037520161,0.514956203,-0.175097148,-0.068956682,13.81666667
-1.290884327,1.069212624,-1.742725412,0.785266677,-0.204044321,-0.415638292,-0.001033414,-0.264727685,-0.9127524,0.111417335,0.408067443,-0.453644011,3.866666667
-0.076104511,-2.358351852,-1.016285739,0.631390789,0.826711522,-0.393832743,-0.668654917,-0.512206791,-1.60418573,0.180525281,0.937799293,0.19801821,19.48333333
-0.040809048,-2.487671255,-0.682619834,1.147498553,0.659766504,-0.468823039,-0.154026387,0.070190979,-1.882150986,0.61014039,0.265470437,0.208636386,15.66666667
2.126001552,-0.136939842,-1.755981382,-0.873318968,0.241143863,-0.944618122,-1.214723673,0.937697521,-0.566363757,0.208119242,-0.836415637,-0.709335785,20.35
